vacancy_id,vacancy_name,city_name,rag_chunk,description_cleaned
127757615,Junior Data Scientist,Нижний Новгород,"Вакансия: Junior Data Scientist. Город:  Нижний Новгород. Опыт: От 1 года до 3 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: проектный опыт работы временными рядами рядами регрессии года. владение python sql. навыки работы sklearn.... Обязанности: Time Series Forecasting (ритейл: прогноз продаж, прогноз количества заказов). Анализировать и визуализировать данные, выявлять закономерности, представлять результаты. Предлагать и проводить...",1221systems аккредитованная it_компания специализирующаяся разработке it_решений бизнеса розничной оптовой торговли. наша компания выполняет разработку it_продуктов группы компании quot сладкая жизнь quot одного крупнейших дистрибьюторов продуктов питания россии. данный момент находимся поиске data scientist проекты разработке корпоративных систем наших партнеров брендов spar eurospar. проекты направлены прогнозирование спроса потребительской активности целью оптимизации закупочной деятельности управления остатками товаров складах. ищем универсального бойца который развить проект стадии poc распространить текущие наработки другие компании существующему пайплайну возможность прокачать mlops навыки предстоит заниматься time series forecasting ритейл прогноз продаж прогноз количества заказов анализировать визуализировать данные выявлять закономерности представлять результаты предлагать проводить эксперименты решения возникающих задач применять различные модели мо решения задач интерпретировать результаты обучения выводить разработанные решения прод вместе опытными ребятами всему научим ждём кандидата проектный опыт работы временными рядами рядами регрессии года владение python sql навыки работы sklearn pandas plotly lightgbm catboost prophet плюсом опыт работы api flask fastapi практическое использование сервисов yandexcloud других облачных сервисов знание технологий стека docker kubernetes gitlab_ci cd опыт работы большими данными умение использовать своей работе ии. ценим сотрудниках следующие качества высокий уровень ответственности самоорганизованности хорошие коммуникативные презентационные навыки общения заказчиком умение проявлять гибкость запросы заказчика предлагать варианты решения задач стремление учиться получать новые навыки нацеленность результат. предлагаем оформление тк полностью белая конкурентная зарплата программа кафетерия льгот испытательного срока дмс компенсация затрат изучение английского языка занятия спортом путешествия семьи покупку оборудования работы дополнительных оплачиваемых day off лечения течение года программа адаптации обучения разработка индивидуального плана развития посещение счёт компании топовых профильных конференций комплект необходимого работы оборудования удалённый режим работы гибкое начало рабочего дня демократичные отношения руководством идеи обсуждаются участием команды офлайн онлайн корпоративы подарки сотрудников детей.
127757227,Ведущий специалист отдела математического моделирования/Data Scientist,Москва,"Вакансия: Ведущий специалист отдела математического моделирования/Data Scientist. Город:  Москва. Опыт: От 1 года до 3 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: опыт разработке моделей опыт работы области разработки скоринговых моделей года. аналитические способности умение эффективно работать с.... Обязанности: Разработка и совершенствование моделей: создание, тестирование и внедрение современных моделей оценки потребительского кредитного риска (кредитный скоринг) для повышения эффективности нашей...",предлагаем стабильность компания финансовом рынке года входит топ_50 лучших работодателей рейтинг hh.ru работу компании лидере рынке микрофинансовых услуг работу соответствии законодательством рф аспектах деятельности официальное трудоустройство тк рф полный социальный пакет включая оплачиваемые отпуска больничные дмс финансовую стабильность гарантированная ежегодная индексация оклада прозрачная система мотивации своевременные выплаты задержек работу профессиональной командой наставниками ценят усилия результаты каждого сотрудника честны открыты уважительны друг другу удаленный гибридный формат работы яркую корпоративную жизнь ежегодные конференции тимбилдинги митапы другие мероприятия дружелюбную атмосферу развитую корпоративную культуру инициируем изменения готовы любым вызовам предстоит заниматься разработка совершенствование моделей создание тестирование внедрение современных моделей оценки потребительского кредитного риска кредитный скоринг повышения эффективности нашей кредитной политики подготовка данных сбор очистка трансформация больших массивов данных необходимых построения точных надежных моделей презентация документирование профессиональное представление результатов моделирования создание подробной технической документации обоснований разработанных моделей мониторинг оптимизация регулярный мониторинг эффективности действующих моделей анализ работы разработка предложений улучшению самих моделей связанных ними процессов peer review участие оценке качества моделей разработанных другими членами команды рамках процесса взаимного контроля ожидаем опыт разработке моделей опыт работы области разработки скоринговых моделей года аналитические способности умение эффективно работать большими массивами данных проводить всесторонний анализ делать обоснованные выводы ответственность исполнительность внимательное отношение деталям ответственность результат строгое соблюдение сроков выполнения поставленных задач технический стек языки программирования библиотеки python numpy pandas sklearn catboost matplotlib др. среды разработки jupyter notebooks jupyter lab. базы данных опыт работы ms sql server. знание power bi визуализации данных. уверенное владение excel постоянное развитие активное стремление обучению освоению новых технологий методов сфере кредитного скоринга аналитики данных
127592071,Data Scientist,Новосибирск,Вакансия: Data Scientist. Город:  Новосибирск. Опыт: От 1 года до 3 лет. График: Полный день. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: дополнительные сертификаты области data science машинного обучения. опыт работы лет роли data scientist аналитика.... Обязанности: Разработка и внедрение прогнозных моделей. Создание эффективных BI-решений. Построение аналитических дашбордов. Повышение качества принимаемых бизнес-решений.,предлагаем официальное трудоустройство тд белая зарплата бонусы график работы отсутствие жёсткого дресс_кода комфортный офис центре города рядом метро площадь ленина оборудованная комната приема пищи корпоративные мероприятия подарки сотрудникам детям мерчи расширенный дмс года работы компании. предстоит разработка внедрение прогнозных моделей создание эффективных bi_решений построение аналитических дашбордов повышение качества принимаемых бизнес_решений. ожидаем высшее образование сфере прикладной математики статистики экономики уклоном количественный анализ дополнительные сертификаты области data science машинного обучения опыт работы лет роли data scientist аналитика данных опыт реализации проектов финансовой сфере банки финтех опыт работы bi_системами olap_технологиями владение инструментарием визуализации опыт создания дашбордов отчетов продвинутое владение python ms sql nosql базы данных знание методов оценки качества моделей существенным плюсом является понимание банковских продуктов услуг опыт работы финансовыми показателями знание принципов риск_менеджмента опыт оценки кредитного риска.
127117611,Аналитик данных,Нижний Новгород,Вакансия: Аналитик данных. Город:  Нижний Новгород. Опыт: Нет опыта. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: расширение технических знаний развитие аналитика data scientist пиши сопроводительном письме свой уровень владения sql python.. Обязанности: Автоматизация выгрузки и сбора данных. - Ad/hoc запросы. - Визуализация отчетности для бизнеса. - Участие в создании информационной модели бизнеса. - ,тебе нравятся крутые амбициозные задачи мечтаешь развиваться команде настоящих специалистов это точно csc_hr нам лет наши клиенты большие международные компании мира it digital construction fmcg oil amp автоматизация выгрузки сбора данных ad hoc запросы визуализация отчетности бизнеса участие создании информационной модели бизнеса участие проектах разработке продуктов аналитик моделирование бизнес_процессов участие формировании unit_экономики помощь финансовой аналитике. ждем коммерческий опыт обязателен высшее образование специальностям прикладная математика аналитика информационные технологии учишься открыты диалогу уверенный уровень sql знания python аналитики данных pandas numpy sklearn базовые знания матстата комбинаторики уверенный уровень excel включая google sheets предлагаем полная удалёнка дружелюбный профессиональный коллектив. возможности роста продуктовой разработке проектном менеджменте. расширение технических знаний развитие аналитика data scientist готов новым вызовам ждем нашей команде пиши сопроводительном письме свой уровень владения sql python.
127117612,Аналитик данных,Самара,Вакансия: Аналитик данных. Город:  Самара. Опыт: Нет опыта. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: расширение технических знаний развитие аналитика data scientist пиши сопроводительном письме свой уровень владения sql python.. Обязанности: Автоматизация выгрузки и сбора данных. - Ad/hoc запросы. - Визуализация отчетности для бизнеса. - Участие в создании информационной модели бизнеса. - ,тебе нравятся крутые амбициозные задачи мечтаешь развиваться команде настоящих специалистов это точно csc_hr нам лет наши клиенты большие международные компании мира it digital construction fmcg oil amp автоматизация выгрузки сбора данных ad hoc запросы визуализация отчетности бизнеса участие создании информационной модели бизнеса участие проектах разработке продуктов аналитик моделирование бизнес_процессов участие формировании unit_экономики помощь финансовой аналитике. ждем коммерческий опыт обязателен высшее образование специальностям прикладная математика аналитика информационные технологии учишься открыты диалогу уверенный уровень sql знания python аналитики данных pandas numpy sklearn базовые знания матстата комбинаторики уверенный уровень excel включая google sheets предлагаем полная удалёнка дружелюбный профессиональный коллектив. возможности роста продуктовой разработке проектном менеджменте. расширение технических знаний развитие аналитика data scientist готов новым вызовам ждем нашей команде пиши сопроводительном письме свой уровень владения sql python.
126737674,Старший бизнес-аналитик CLTV,Москва,Вакансия: Старший бизнес-аналитик CLTV. Город:  Москва. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: высшее образование сфере экономики математики физики. опыт работы стратегическом консалтинге телекоме e_com компаниях банках.. Обязанности: ...пилоты и А/В тесты. Оформлять инсайты в презентации для топ-менеджмента. Взаимодействовать с командой <highlighttext>Data</highlighttext>-<highlighttext>scientists</highlighttext> и <highlighttext>Data</highlighttext>-analysts.,наша команда каждый день работает повышением качества связи обеспечивая бесперебойность сервиса клиента. это уверенность надежность профессионализм внимание деталям. готов решать сложные масштабные задачи команде экспертов ждем твое резюме возможность присоединиться лучшей команде качестве старшего бизнес_аналитика. итак тебе предстоит вместе дата_аналитиками исследовать влияние инициатив компании cltv клиентов исследовать взаимосвязи качеством связи ценовой политикой т.п. выживаемостью клиентов структурировать вместе командой проводить пилоты тесты оформлять инсайты презентации топ_менеджмента взаимодействовать командой data_scientists data_analysts. ключевой проект служба моделирования ценности клиента клиентских метрик cltv. будем рады рассмотреть твою кандидатуру высшее образование сфере экономики математики физики опыт работы стратегическом консалтинге телекоме e_com компаниях банках уверенный sql python excel понимание принципов работы ml_моделей желательно опыт работы cvm уверенное владение инструментами создания презентаций. предлагаем трудоустройство аккредитованную ит_компанию. сплоченную команду профессионалов которой успешно. реализовывать проекты перенимать опыт развиваться. обучение участие интересных проектах расширение профессиональной экспертизы участвуем конференциях митапах публикуемся хабр т.д. конструктивную открытую рабочую атмосферу. полис добровольного медицинского страхования обслуживаемый лучших клиниках. корпоративные скидки товары услуги партнеров компании. компенсацию ваших затрат занятия спортом бег футбол волейбол плавание йога размере стоимости. служебную сотовую связь.
127401542,Data Scientist,Москва,"Вакансия: Data Scientist. Город:  Москва. Опыт: От 1 года до 3 лет. График: Удаленная работа. Занятость: Частичная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: уверенный python numpy pandas scipy matplotlib plotly. опыт работы pytorch другим dl_фреймворком базовые знания линейной алгебры математической.... Обязанности: Предобработка психофизиологических данных (айтрекинг, биометрия, ЭЭГ): очистка, выравнивание, синхронизация потоков данных. Анализ экспериментальных данных: статистический анализ, извлечение метрик вовлечённости, корреляции...",проекте нейроллаб исследовательская нейромаркетинговая лаборатория которая изучает реакции пользователей цифровой контент реклама интерфейсы визуалы помощью айтрекинга биометрии нейрооборудования. результаты исследований конвертируются инсайты рекомендации бизнеса. лаборатория также ведёт научную образовательную активность стажировки проекты предстоит делать предобработка психофизиологических данных айтрекинг биометрия ээг очистка выравнивание синхронизация потоков данных. анализ экспериментальных данных статистический анализ извлечение метрик вовлечённости корреляции кластеризация тестирование гипотез. объединение усреднение данных айтрекинга биометрии ээг скрипты пайплайны визуализация тепловые карты взгляда графики вызванных потенциалов erp временные ряды агрегированные дашборды графики отчётов. поддержка доработка существующих python_инструментов рефакторинг модульность тесты документация разработка прототипирование ml dl_моделей распознавания прогнозирования состояний необходимости подготовка отчётной документации готовых аналитических артефактов клиентов внутренней команды. проведение технического обучения сотрудников лаборатории использованию разработанных инструментов. участие научной деятельности помощь оформлении методологии подготовке статей презентаций задачам проекта ждём уверенный python numpy pandas scipy matplotlib plotly. опыт работы pytorch другим dl_фреймворком базовые знания линейной алгебры математической статистики цифровой обработки сигналов dsp опыт работы сигналами временными рядами ээг биометрия аналогичные физиологические данные навыки предобработки синхронизации мультимодальных потоков данных айтрекер биометрия ээг опыт визуализации исследовательских данных групповые индивидуальные графики тепловые карты erp умение составлять понятную документацию формировать отчёты заказчика. навыки исследовательской научной работы проектирование экспериментов статистический анализ плюсом опыт библиотеками ээг нейрофизиологии mne_python neurokit2 т.п. опыт spss. опыт работы системами айтрекинга tobii imotions экспорт_форматами опыт создания дашбордов dash streamlit tableau powerbi опыт обучения сотрудников подготовки методических материалов. опыт devops моделей docker ci cd желателен обязателен. опыт работы научной лаборатории коммерческих нейро ux_исследованиях. наличие практических проектов портфолио github научные работы кейсы предлагаем официальное трудоустройство оформление тк рф it аккредитованную компанию. полностью удалённый формат работы частичная занятость часов неделю возможность совмещения учёбой работой согласованном графике рост развитие включение проект возможностью участия коммерческих научных треках. кураторы руководитель проекта технический тимлид. социальный пакет дмс. оплачиваемый отпуск дней году. оплачиваемые больничные.
126718438,Data Scientist (Junior),Москва,"Вакансия: Data Scientist (Junior). Город:  Москва. Опыт: Нет опыта. График: Полный день. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: высшее образование математическое техническое возможность работать полную рабочую неделю. знание современных архитектур нейросетей. понимание устроены классические алгоритмы машинного обучения.... Обязанности: Собирать и готовить данные для использования в ML-моделях. Разработка и поддержка микросервисов на Python, основанных на моделях компьютерного зрения...",bnd консалтинговая компания специализирующаяся предоставлении услуг области бизнес_аналитики bi business intelligence риск_менеджмента управления взаимоотношениями клиентами crm финансовой консолидации электронного бизнес компании активно развивается направление ds. решаем задачи области computer vision прогнозирования связанными промышленностью. поэтому очень ищем специалиста data science уровень junior данной позиции предусмотрено тестовое задание откликаетесь будте готовы выполнить ваши будущие задачи собирать готовить данные использования ml_моделях разработка поддержка микросервисов python основанных моделях компьютерного зрения интеграция другими компонентами систем тестирование оценка оптимизация производительности моделей сервисов созданных основе также сборка ml_пайплайнов. стек технологий python opencv numpy pandas pytorch sql triton inference server tensorrt docker kubernetes helm ожидаем высшее образование математическое техническое возможность работать полную рабочую неделю знание современных архитектур нейросетей понимание устроены классические алгоритмы машинного обучения принципы работы опыт проектами cv computer vision deep learning английский чтения статей технической документации плюсом обучали применяли практике cv модели работали контейнеризацией помощи docker кластером kubernetes знаете знакомы tensorrt cuda. готовы предложить работу интересном проекте крупного заказчика перспективы роста развития компании достойный уровень компенсации оформление тк рф график гибридный график работы дмс прохождения испытательного срока гибридный график работы 1_2 раза неделю офис офис центре москвы минут м. новокузнецкая м. третьяковская
125416786,Senior Data Scientist (NLP),Санкт-Петербург,"Вакансия: Senior Data Scientist (NLP). Город:  Санкт-Петербург. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: умение работать mlops_инструментами clearml mlflow трекинга деплоя. понимание мониторинга моделей data drift бизнес_метрики например containment.... Обязанности: Разработка и тюнинг LLM под бизнес-задачи с использованием PyTorch, Lightning, Transformers. Создание агентских систем с применением LangChain/LangGraph (оркестрация...",привет ищем ds команду research and development фарпоста задачи разработке внедрению продвинутых nlp_решений основе llm продакшн. предстоит заниматься разработка тюнинг llm бизнес_задачи использованием pytorch lightning transformers. создание агентских систем применением langchain langgraph оркестрация tool calling state management оптимизация моделей продакшена инференс_ускорение onnx triton эффективный тюнинг lora qlora полный цикл ml экспериментов промышленного внедрения использованием mlops clearml включая мониторинг дрифта бизнес_метрик. разработка микросервисов python fastapi интеграции моделей продукты. ключевые технологии core ml pytorch hugging face transformers pytorch lightning llm tools langchain langgraph smolagents prompt_engineering optimization onnx runtime triton lora p_tuning mlops clearml docker ci cd gitlab ci jenkins ожидаем опыт коммерческой разработки 5_6 лет. года промышленного опыта nlp ml включая работу llm. глубокое понимание архитектур трансформеров механизмы внимания токенизация позиционные энкодинги. опыт ускорения инференса оптимизация onnx triton. практика оркестрацией llm цепочки промптов агентские системы langchain langgraph навыки продакшен_кода питоновские микросервисы тестирование ci cd. умение работать mlops_инструментами clearml mlflow трекинга деплоя. понимание мониторинга моделей data drift бизнес_метрики например containment rate чат_ботов бонусные навыки опыт peft parameter_efficient fine_tuning адаптации llm. знание векторных бд qdrant pinecone гибридного поиска. можем предложить заряженная профессиональная команда. амбициозные задачи ресурсы решения. развитие обучение оплата внешних тренингов семинаров конференций корпоративная библиотека. стабильность прозрачность официальное оформление пересмотры зарплаты итогам performance review. комфортные условия гибкий график работы удаленная работа производительное железо демократичные рабочие отношения.
127080680,Data Scientist / ML Engineer,Санкт-Петербург,Вакансия: Data Scientist / ML Engineer. Город:  Санкт-Петербург. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Максимальная зарплата: 0.0.Требования: высшее образование области математики физики предпочтительно специализация машинном обучении опыт работы специальности лет.. Обязанности: О проектах и продуктах: Проекты по комплексным решениям по автоматизации и цифровизации на основе таких продуктов компании «Цифровые Корпоративные Технологии...,цифровые корпоративные технологии ведущий подрядчик решения сложных технологических задач области цифровизации промышленности. цифровые корпоративные технологии является наследником подразделения центрального научно_исследовательского департамента siemens россии. лет нашей работы создали программные аппаратные решения мониторинга инфраструктуры больших промышленных объектов siemens например адаптировали поезд сапсан россии внешних заказчиков таких церн арамко сибур. сегодня продолжаем свой путь независимый подрядчик решения самых сложных срочных технологических задач промышленности россии. наш основной фокус это создание высоконагруженных систем мониторинга промышленных объектов элементами машинного обучения прикладного искусственного интеллекта математического моделирования интеграцией различных систем асутп scada dcs. также реализуем отдельные большие проекты сфере автоматизации. проектах продуктах проекты комплексным решениям автоматизации цифровизации основе таких продуктов компании цифровые корпоративные технологии axioma платформа предиктивной диагностики. axioma система предиктивного мониторинга эмиссий выбросов загрязняющих веществ предназначенная контроля учета эмиссий объектах оказывающих негативное воздействие окружающую среду. axioma обеспечивает мониторинг эмиссий основе информации состоянии технологического оборудования поступающей автоматизированных систем управления технологическим процессом смежных систем реализованных базе цифровых двойников части отходящих газов использованием математических моделей отдельных этапов технологических процессов методов промышленного искусственного интеллекта. система сокращает раза общую стоимость владения оборудования мониторинга выбросов предлагает полную независимость иностранных поставщиков зарубежного газоаналитического оборудования. платформа предиктивной диагностики система предиктивной диагностики построения цифровых двойников оборудования предприятий технологических процессов. система позволяет строить цифровые двойники оборудования основе прогностические модели выполняемые потоковых данных исторических. система позволяет перейти предприятиям реактивного планового обслуживания оборудования обслуживанию состоянию. также система использоваться моделирования сложных технологических процессов оптимизации достижения наибольшей экономической эффективности. обязанности разработка приложений области анализа данных промышленных предприятий исследование промышленных данных проверка гипотез построение моделей машинного обучения участие предпроектной проработке решений построение прототипов части моделей машинного обучения оценка достижимости результатов операционализация моделей машинного обучения построение конвейеров автоматизации обучения исполнения моделей машинного обучения взаимодействие коллегами внутри команды аналитики данных искусственного интеллекта смежными командами разработки инженерного консалтинга моделирования. требования высшее образование области математики физики предпочтительно специализация машинном обучении опыт работы специальности лет владение научным стеком python уровне достаточном разработки моделей машинного обучения анализа данных технический английский. плюсом ученая степень к.ф.-м.н к.т.н. опыт построении моделей анализе данных промышленных предприятий опыт mlops опыт разработке опыт работы междисциплинарных проектных командах состоящих инженеров аналитиков данных специалистов машинному обучению разработчиков опыт работы linux условия 1. работа компании решающей самые сложные срочные технологические задачи области цифровизации промышленности россии 2. прозрачный конкурентный уровень вознаграждения основанный результатах собеседования 3. гибридный удаленный формат работы
